RuleSet	Average Value,	Connectedness	Chaos
0	49.056	0.5280000000000060	0.0
1	48.531	0.4620000000000030	0.0
2	49.677	1.1270000000000000	0.0
3	47.494	-1.3430000000000000	0.0
4	47.456	-1.4010000000000000	0.0
5	47.725	-1.3490000000000000	0.026
6	52.48	4.206000000000000	0.0
7	49.434	1.9500000000000000	0.307
8	50.438	3.7320000000000000	0.0
9	43.533	-4.394000000000000	0.0
10	43.13	-4.0830000000000100	0.0
11	43.187	-4.390000000000000	0.0
12	42.522	-4.251000000000000	0.0
13	42.112	-4.3160000000000000	0.0
14	41.901	-4.195	0.0
15	42.304	-4.178000000000000	0.32
16	42.707	-3.899000000000000	0.224
17	42.842	-4.199000000000000	0.243
18	60.589	9.265	0.0
19	56.026	3.8940000000000000	0.058
20	63.443	10.349000000000000	0.0
21	49.946	0.7760000000000030	0.89
22	48.794	0.5400000000000060	0.966
23	49.184	1.4320000000000000	2.31
24	66.976	11.199000000000000	0.0
25	55.61	4.788000000000000	1.965
26	65.402	11.531000000000000	0.0
27	35.533	-6.588000000000000	0.0
28	36.256	-6.724	0.0
29	35.885	-6.415000000000000	0.0
30	36.141	-6.643000000000000	0.0
31	35.981	-6.474	0.0
32	36.294	-6.703000000000000	0.0
33	35.373	-6.422000000000000	0.0
34	35.315	-6.351000000000000	0.0
35	35.77	-6.547000000000000	0.0
36	32.928	-6.536000000000000	0.0
37	32.518	-6.165000000000000	0.0
38	33.216	-6.3210000000000000	0.0
39	31.827	-6.113000000000000	0.0
40	31.277	-5.548000000000000	0.0
41	31.539	-5.535	0.0
42	33.53	-6.237000000000000	0.038
43	33.491	-6.313000000000000	0.0
44	33.613	-6.195	0.058
45	34.822	-6.070000000000000	0.397
46	34.496	-5.959000000000000	0.294
47	34.515	-5.941000000000000	0.538
48	34.81	-5.781000000000000	0.378
49	34.784	-6.0540000000000000	0.403
50	34.381	-6.558	0.435
51	33.645	-5.970000000000000	0.41
52	34.08	-5.735000000000000	0.32
53	33.197	-5.597000000000000	0.39
54	78.566	2.297000000000000	0.0
55	71.878	-1.3770000000000000	0.051
56	83.392	4.338000000000010	0.013
57	63.955	-6.604000000000000	0.294
58	62.758	-5.635000000000010	0.384
59	61.702	-7.025000000000000	0.832
60	90.957	2.629000000000010	0.0
61	73.229	-0.5930000000000040	3.994
62	93.331	3.155000000000000	0.0
63	55.29	-3.2660000000000000	13.632
64	54.714	-3.423000000000000	12.87
65	56.614	-1.7460000000000000	17.805
66	46.323	0.4159999999999970	8.326
67	43.578	1.3570000000000000	5.958
68	45.683	1.2100000000000000	10.003
69	58.528	2.0390000000000000	25.478
70	56.64	2.6540000000000000	25.197
71	60.493	1.9570000000000000	27.808
72	93.043	1.3109999999999900	0.0
73	75.283	-2.946000000000000	2.125
74	96.333	1.6900000000000000	0.0
75	67.29	1.3159999999999900	22.918
76	53.229	7.389000000000000	12.723
77	69.619	2.7890000000000000	30.195
78	97.44	1.226000000000000	0.013
79	68.294	5.578000000000000	12.019
80	97.709	1.4350000000000000	0.006
81	26.733	-6.737000000000000	0.0
82	26.842	-6.638000000000000	0.0
83	26.131	-6.287000000000000	0.0
84	27.546	-7.143000000000000	0.0
85	27.597	-7.438000000000000	0.0
86	26.739	-7.962	0.0
87	26.016	-5.060000000000000	0.0
88	26.246	-5.812000000000000	0.0
89	25.798	-4.932000000000000	0.0
90	27.149	-7.709	0.0
91	27.846	-7.7990000000000000	0.0
92	27.174	-7.411000000000000	0.0
93	27.117	-7.6960000000000000	0.0
94	26.982	-7.34	0.0
95	27.136	-7.499000000000000	0.0
96	27.002	-7.427	0.0
97	26.95	-7.516000000000000	0.0
98	27.443	-7.687000000000000	0.0
99	25.504	-2.1480000000000000	0.0
100	25.018	-5.227	0.0
101	24.614	-3.9460000000000000	0.0
102	26.016	-6.723000000000000	0.0
103	26.099	-6.509	0.0
104	26.093	-6.412000000000000	0.0
105	25.856	-1.029	0.0
106	24.717	-5.164000000000000	0.0
107	24.544	-1.0140000000000000	0.013
108	22.131	-6.504	0.0
109	22.662	-6.187000000000000	0.0
110	21.971	-6.591000000000000	0.0
111	23.123	-6.734000000000000	0.0
112	22.4	-6.507000000000000	0.0
113	22.547	-6.329000000000000	0.0
114	23.027	-6.879000000000000	0.0
115	23.149	-6.3260000000000000	0.0
116	23.162	-6.742000000000000	0.0
117	19.437	-5.056000000000000	0.0
118	18.656	-5.071000000000000	0.0
119	19.469	-5.473000000000000	0.0
120	18.253	-4.508000000000000	0.0
121	17.613	-4.059000000000000	0.0
122	18.336	-4.244000000000000	0.0
123	20.147	-5.261000000000000	0.0
124	20.179	-5.094000000000000	0.0
125	21.203	-5.439	0.0
126	24.512	-7.058	0.038
127	24.774	-6.636000000000000	0.026
